RANK,PLAYER,Team,Position,PASSING_C/A,PASSING_YDS,PASSING_TD,PASSING_INT,RUSHING_CAR,RUSHING_YDS,RUSHING_TD,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD,RECEIVING_TAR,ROST,DIFFERENTIAL,FFP_TOTAL,FFP_AVG,ADP,ADP_ROUND,ROUND
149,Jalen Tolbert,Dal,WR,0/0,0,0,0,0,0,0,50,659,5,80,5.8,0.2,146,9.1,167.9,167.9,13
151,Justin Tucker,Bal,K,0/0,0,0,0,0,0,0,0,0,0,0,99.4,0.1,136.5,8,99.6,99.6,13
152,Evan McPherson,Cin,K,0/0,0,0,0,0,0,0,0,0,0,0,99.3,0,141.2,8.3,107,107,13
153,Matt Gay,LAR,K,0/0,0,0,0,0,0,0,0,0,0,0,98.4,0.1,140.5,8.3,122.4,122.4,13
154,Harrison Butker,KC,K,0/0,0,0,0,0,0,0,0,0,0,0,97.5,0.2,138.5,8.1,126.6,126.6,13
155,Daniel Carlson,LV,K,0/0,0,0,0,0,0,0,0,0,0,0,92,0.3,132.2,7.8,136,136,13
156,Brandon McManus,Den,K,0/0,0,0,0,0,0,0,0,0,0,0,88.9,0.4,132.7,7.8,147.5,147.5,13
157,Nick Folk,NE,K,0/0,0,0,0,0,0,0,0,0,0,0,88.5,0.3,129.4,7.6,149,149,14
158,Tyler Bass,Buf,K,0/0,0,0,0,0,0,0,0,0,0,0,84.7,0.7,125.8,7.4,149.4,149.4,14
159,Matt Prater,Ari,K,0/0,0,0,0,0,0,0,0,0,0,0,81.6,0.6,127.6,7.5,155.5,155.5,14
160,Graham Gano,NYG,K,0/0,0,0,0,0,0,0,0,0,0,0,50.5,1.6,124.8,7.3,161.5,161.5,14
161,Marlon Mack,Hou,RB,0/0,0,0,0,153,673,4,18,123,0,25,35.8,0.5,128.3,9.2,158.2,158.2,14
162,Jarvis Landry,NO,WR,3-Feb,18,0,0,0,1,0,58,743,4,95,38.5,-1,155.9,9.7,147.7,147.7,14
163,DeVante Parker,NE,WR,0/0,0,0,0,0,0,0,50,687,4,89,16.1,-0.1,142.3,9.5,165.7,165.7,14
164,Tua Tagovailoa,Mia,QB,358/539,3800,25,13,50,170,3,0,0,0,0,37.6,2.4,248.6,16.6,153.5,153.5,14
165,Alec Pierce,Ind,WR,0/0,0,0,0,0,0,0,52,700,4,85,18.1,-1.5,150.1,9.4,168.5,168.5,14
166,Michael Gallup,Dal,WR,0/0,0,0,0,0,0,0,46,676,5,80,78.8,-4.2,146,12.2,162.6,162.6,14
167,Joshua Palmer,LAC,WR,0/0,0,0,0,0,0,0,51,589,5,78,4.4,0,140.5,8.8,169.2,169.2,14
168,Tim Patrick,Den,WR,0/0,0,0,0,0,0,0,52,678,6,83,9.4,0.3,156.3,9.8,167.2,167.2,14
169,Jalen Tolbert,Dal,WR,0/0,0,0,0,0,0,0,52,687,5,83,7.2,1.4,152.2,9.5,167.9,167.9,15
171,Dameon Pierce,Hou,RB,0/0,0,0,0,137,591,4,18,134,1,24,18.6,0,116.8,7.8,164,164,15
172,Logan Thomas,Wsh,TE,0/0,0,0,0,0,0,0,46,501,5,71,33.1,-3.6,126.9,8.5,164.8,164.8,15
173,Isaiah Spiller,LAC,RB,0/0,0,0,0,124,536,4,18,132,1,24,14.9,0.9,114.5,7.6,164.5,164.5,15
174,James White,NE,RB,0/0,0,0,0,36,155,2,47,391,2,62,6.9,0.2,124.9,9.6,169.4,169.4,15
175,Alexander Mattison,Min,RB,0/0,0,0,0,124,497,4,22,158,1,28,38,-0.9,115.2,7.7,159.1,159.1,15
176,Zach Wilson,NYJ,QB,348/561,3823,23,14,45,232,4,0,0,0,0,10.8,0.1,247.6,15.5,167,167,15
177,Justin Fields,Chi,QB,325/514,3630,18,15,99,574,2,0,0,0,0,17,-0.3,235.1,14.7,164,164,15
178,Curtis Samuel,Wsh,WR,0/0,0,0,0,13,77,1,44,518,4,70,4.8,-0.2,131.5,8.8,169.6,169.6,15
179,John Metchie III,Hou,WR,0/0,0,0,0,0,0,0,51,615,3,80,14.3,-1.6,131.2,9.4,169.4,169.4,15
180,Rondale Moore,Ari,WR,0/0,0,0,0,22,119,1,53,537,3,71,31.7,-1.4,142.2,8.9,168.6,168.6,15
181,George Pickens,Pit,WR,0/0,0,0,0,0,0,0,53,678,3,88,13.3,-0.4,139.2,8.7,167.5,167.5,16
182,Gus Edwards,Bal,RB,0/0,0,0,0,136,652,4,15,118,1,20,7.4,0,120.5,8,168.1,168.1,16
183,Darrell Henderson Jr.,LAR,RB,0/0,0,0,0,90,398,3,22,167,1,30,18,-0.6,105.8,7.6,166.2,166.2,16
184,Tyler Allgeier,Atl,RB,0/0,0,0,0,102,420,2,16,115,1,21,11.3,0.3,85.2,5.7,167.7,167.7,16
185,Robert Tonyan,GB,TE,0/0,0,0,0,0,0,0,50,530,5,68,16.6,0.2,132.8,8.3,165.2,165.2,16
186,Jamaal Williams,Det,RB,0/0,0,0,0,145,589,4,21,125,1,25,9.2,-0.1,122,8.7,168.3,168.3,16
187,Kenyan Drake,LV,RB,0/0,0,0,0,76,327,3,31,253,1,41,4.6,-0.1,113.9,8.1,169.5,169.5,16
188,Tyler Higbee,LAR,TE,0/0,0,0,0,0,0,0,52,503,5,72,21.4,-1.5,130.5,8.7,166.2,166.2,16
189,Browns D/ST,Cle,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,42.6,4,96.6,5.7,159.4,159.4,16
